Depth,Map,Width,Height,PointA,PointB,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,AvgTime,Distance,NodesVisited
5,A,200,200,(13 13),(186 13),0.001,0.000995,0.001003,0,0.000991,0.000998,0.000997,0.000996,0.000999,0.000997,0.0008976,287.416,206
5,A,200,200,(13 186),(186 13),0.000998,0.000998,0.000997,0.001995,0.001,0.000995,0.000997,0.000997,0.000997,0.000998,0.0010972,332.352,224
5,A,200,200,(13 186),(186 186),0.001001,0.000995,0.001998,0.000993,0.000998,0.001994,0.001,0.000994,0.000997,0.000997,0.0011967,313.373,238
5,A,200,200,(13 13),(186 186),0.000998,0.000996,0.001,0.011965,0.001,0.000996,0.000998,0.000996,0.001995,0.000998,0.0021942,269.224,191
5,A,400,400,(26 26),(373 26),0.000996,0.000998,0.000997,0,0.00142,0.000971,0.002,0.000991,0.001003,0.000992,0.0010368,575.488,206
5,A,400,400,(26 373),(373 26),0.001,0.000994,0.000998,0.000996,0.000998,0.001,0.000996,0.000998,0.000996,0.000997,0.0009973,666.016,224
5,A,400,400,(26 373),(373 373),0.000994,0.002009,0.000984,0.000997,0.000998,0.000997,0.000997,0.000997,0.000999,0.001992,0.0011964,628.817,238
5,A,400,400,(26 26),(373 373),0.000996,0.000996,0,0.001999,0.000995,0.000997,0.000996,0.000998,0.000996,0.000998,0.0009971,539.863,191
5,A,500,500,(33 33),(466 33),0.001995,0.000997,0.000997,0.001995,0.000998,0.000998,0.000996,0.000998,0.001994,0.000997,0.0012965,718.115,206
5,A,500,500,(33 466),(466 33),0.001995,0.000999,0.001993,0.000997,0.000996,0.001995,0.000997,0.001995,0.000997,0.002993,0.0015957,831.446,223
5,A,500,500,(33 466),(466 466),0.000995,0.000996,0.000998,0.000997,0.000997,0.000998,0.000997,0.000997,0.000997,0.000998,0.000997,785.13,238
5,A,500,500,(33 33),(466 466),0.000997,0.001997,0.000995,0.000998,0.000997,0.001994,0.000998,0.000997,0.000997,0.000997,0.0011967,673.768,191
5,A,600,600,(40 40),(560 40),0.000997,0.001995,0.001003,0.000992,0.001994,0.000998,0.000999,0.001993,0.000998,0.000997,0.0012966,861.44,206
5,A,600,600,(40 560),(560 40),0.001994,0.000998,0.000997,0.001993,0.000999,0.001995,0.001994,0.002023,0.00097,0.000996,0.0014959,998.269,223
5,A,600,600,(40 560),(560 560),0.001993,0.007979,0.000997,0.001995,0.000997,0.003991,0.001994,0.000998,0.001994,0.001994,0.0024932,943.555,238
5,A,600,600,(40 40),(560 560),0.000996,0.000998,0.000997,0.001997,0.000995,0.001,0.000995,0.001002,0.000993,0.000997,0.001097,809.088,191
5,A,1000,1000,(66 66),(933 66),0.001018,0.001972,0.000997,0.000998,0.000996,0.001001,0.000995,0.001994,0.000998,0.000998,0.0011967,1436.92,206
5,A,1000,1000,(66 933),(933 66),0.001994,0.00101,0.001984,0,0.001365,0.001974,0.000998,0.000998,0.002993,0.000996,0.0014312,1664.27,223
5,A,1000,1000,(66 933),(933 933),0.000996,0.001999,0.00199,0.001994,0.001996,0.002003,0.000986,0.000997,0.000997,0.000997,0.0014955,1572.36,238
5,A,1000,1000,(66 66),(933 933),0.000997,0.000999,0.000997,0.001001,0.000993,0.000998,0.000997,0.001,0,0.000994,0.0008976,1348.95,191
5,A,1500,1500,(100 100),(1400 100),0.000997,0.001005,0.00099,0.000998,0.000997,0.000998,0.00101,0.000984,0.000997,0.000997,0.0009973,2153.6,207
5,A,1500,1500,(100 1400),(1400 100),0.001988,0.000997,0.000998,0.002001,0.000991,0.000996,0.000999,0.000998,0.001995,0.000996,0.0012959,2495.67,223
5,A,1500,1500,(100 1400),(1400 1400),0.000996,0.001993,0.000999,0.001994,0.000998,0.001997,0.000994,0.001995,0.001004,0.001988,0.0014958,2358.89,238
5,A,1500,1500,(100 100),(1400 1400),0,0.000996,0.000998,0.001001,0.000999,0,0.000992,0.000997,0.000997,0.000997,0.0007977,2022.72,191
5,A,3000,3000,(200 200),(2800 200),0.000997,0.000997,0.000998,0.000998,0.000997,0.000997,0.001007,0.001986,0.000997,0.000998,0.0010972,4307.2,205
5,A,3000,3000,(200 2800),(2800 200),0.000997,0.001994,0.000997,0.000998,0.001994,0.000998,0.000997,0.000998,0.001994,0.000997,0.0012964,4991.34,222
5,A,3000,3000,(200 2800),(2800 2800),0.002006,0.000987,0.001994,0.000997,0.001995,0.000998,0.000997,0.000998,0.000996,0.001995,0.0013963,4717.77,238
5,A,3000,3000,(200 200),(2800 2800),0.000996,0.000998,0.000996,0.000998,0.000998,0.000995,0.000999,0.000997,0.000997,0.001996,0.001097,4045.44,191
5,B,100,100,(6 6),(93 6),0.002004,0.000988,0.001995,0.002004,0.001985,0.001995,0.001996,0.001993,0.001995,0.001994,0.0018949,173.596,262
5,B,100,100,(6 93),(93 6),0.001994,0.001995,0.001996,0.000994,0.001995,0.001995,0.000997,0.001995,0.001994,0.001995,0.001795,198.254,272
5,B,100,100,(6 93),(93 93),0.000998,0.001995,0.000996,0.000998,0.000997,0.001995,0.000997,0.000998,0.000997,0.000997,0.0011968,164.591,239
5,B,100,100,(6 6),(93 93),0.000997,0.002006,0.000986,0.000997,0.000998,0.001994,0.000997,0.001995,0.000997,0.001998,0.0013965,139.932,197
5,B,200,200,(13 13),(186 13),0.002992,0.001994,0.002993,0.002992,0.002992,0.002991,0.001995,0.002992,0.002993,0.002991,0.0027925,358.412,291
5,B,200,200,(13 186),(186 13),0.002993,0.002991,0.003991,0.001993,0.002992,0.002993,0.008976,0.00399,0.00299,0.001995,0.0035904,399.628,276
5,B,200,200,(13 186),(186 186),0.00199,0.001994,0.001995,0.000996,0.001996,0.000996,0.001996,0.001995,0.001994,0.001994,0.0017946,326.917,262
5,B,200,200,(13 13),(186 186),0.000997,0.001995,0.001994,0.001995,0.001997,0.000994,0.001996,0.001996,0.00299,0.000997,0.0017951,286.487,299
5,B,400,400,(26 26),(373 26),0.003,0.002984,0.002992,0.001994,0.002993,0.002993,0.00299,0.002992,0.00399,0.002991,0.0029919,717.479,295
5,B,400,400,(26 373),(373 26),0.001994,0.002991,0.002992,0.001996,0.002997,0.003984,0.002992,0.003,0.002985,0.002991,0.0028922,800.569,280
5,B,400,400,(26 373),(373 373),0.000998,0.001993,0.000998,0.000997,0.001995,0.000997,0.001999,0.001992,0.000996,0.001994,0.0014959,655.904,280
5,B,400,400,(26 26),(373 373),0.000998,0.001995,0.000996,0.000997,0.001995,0.001995,0.000998,0.002991,0.000998,0.001994,0.0015957,574.389,301
5,B,500,500,(33 33),(466 33),0.002992,0.00201,0.002983,0.001995,0.002992,0.001994,0.002992,0.002993,0.002991,0.002992,0.0026934,895.605,286
5,B,500,500,(33 466),(466 33),0.002992,0.002991,0.001995,0.002992,0.002991,0.001995,0.002993,0.002992,0.002992,0.002992,0.0027925,999.637,281
5,B,500,500,(33 466),(466 466),0.001995,0.001995,0.001994,0.001995,0.002001,0.001988,0.001995,0.001995,0.001994,0.001994,0.0019946,818.989,266
5,B,500,500,(33 33),(466 466),0.001994,0.002969,0.001979,0.001996,0.001993,0.002992,0.001994,0.001995,0.002005,0.000987,0.0020904,716.925,288
5,B,600,600,(40 40),(560 40),0.002991,0.002993,0.002992,0.003989,0.002992,0.002992,0.002998,0.003984,0.003989,0.002992,0.0032912,1074.43,286
5,B,600,600,(40 560),(560 40),0.002992,0.001995,0.002993,0.002999,0.002984,0.001994,0.001994,0.002993,0.002992,0.002992,0.0026928,1200.1,281
5,B,600,600,(40 560),(560 560),0.001993,0.000998,0.000997,0.001995,0.001995,0.000997,0.002991,0.002,0.001989,0.001996,0.0017951,984.185,266
5,B,600,600,(40 40),(560 560),0.001993,0.001995,0.001994,0.001995,0.001995,0.001994,0.001995,0.002992,0.001994,0.001995,0.0020942,860.876,288
5,B,1000,1000,(66 66),(933 66),0.001995,0.001994,0.001996,0.002992,0.002991,0.001995,0.001995,0.001994,0.001995,0.001995,0.0021942,1881.71,279
5,B,1000,1000,(66 933),(933 66),0.001994,0.002992,0.002992,0.001995,0.002993,0.001993,0.002993,0.002991,0.002993,0.001994,0.002593,2090.46,279
5,B,1000,1000,(66 933),(933 933),0.001987,0.000996,0.001028,0.00197,0.000997,0.000997,0.000997,0.001995,0.000998,0.000997,0.0012962,1640.08,266
5,B,1000,1000,(66 66),(933 933),0.002992,0.000997,0.001995,0.000997,0.001995,0.001996,0.001993,0.000997,0.000997,0.002,0.0016959,1435.26,287
5,B,1500,1500,(100 100),(1400 100),0.001994,0.002992,0.002992,0.002991,0.001995,0.002992,0.002993,0.002991,0.002993,0.002996,0.0027929,2820.79,278
5,B,1500,1500,(100 1400),(1400 100),0.00299,0.002912,0.002992,0.002993,0.002174,0.002979,0.001994,0.002992,0.001995,0.001996,0.0026017,3134.97,278
5,B,1500,1500,(100 1400),(1400 1400),0.001995,0.000997,0.001995,0.000997,0.000997,0.001995,0.000999,0.00245,0.000996,0.000998,0.0014419,2460.46,266
